year,new_district_id,candidate,party,estimated_votes
2016,10,Ballard,LIBERTARIAN,5.829253590621684
2016,10,Carter,REPUBLICAN,104.85263145135337
2016,10,Clark,DEMOCRAT,32.11763723766083
2016,11,Ballard,LIBERTARIAN,900.8777788803077
2016,11,Carter,REPUBLICAN,6461.356120504909
2016,11,Clark,DEMOCRAT,7102.065862586289
2016,17,Ballard,LIBERTARIAN,5741.359605291125
2016,17,Carter,REPUBLICAN,49755.31145305476
2016,17,Clark,DEMOCRAT,40190.98529948103
2016,31,Ballard,LIBERTARIAN,4322.9333622379445
2016,31,Carter,REPUBLICAN,56519.479794989
2016,31,Clark,DEMOCRAT,27588.831200695033
2018,10,CARTER,REPUBLICAN,97.80299403697657
2018,10,HEGAR,DEMOCRAT,41.618623395167646
2018,10,HOPE,LIBERTARIAN,2.1020321792439702
2018,11,CARTER,REPUBLICAN,5103.689809828418
2018,11,HEGAR,DEMOCRAT,9030.392048481726
2018,11,HOPE,LIBERTARIAN,283.2200142785044
2018,17,CARTER,REPUBLICAN,41196.79861161993
2018,17,HEGAR,DEMOCRAT,54503.07970568433
2018,17,HOPE,LIBERTARIAN,1945.174462705677
2018,31,CARTER,REPUBLICAN,53249.70858451467
2018,31,HEGAR,DEMOCRAT,39579.90962243876
2018,31,HOPE,LIBERTARIAN,1655.5034908365753
2020,10,CARTER,REPUBLICAN,138.97402476745984
2020,10,IMAM,DEMOCRAT,46.18199039223299
2020,10,PATTERSON,LIBERTARIAN,3.968076600163496
2020,11,CARTER,REPUBLICAN,7101.7750383976345
2020,11,IMAM,DEMOCRAT,10605.898848946641
2020,11,PATTERSON,LIBERTARIAN,461.18806258297013
2020,17,CARTER,REPUBLICAN,58803.71843267576
2020,17,IMAM,DEMOCRAT,66986.6937204137
2020,17,PATTERSON,LIBERTARIAN,3157.483633852562
2020,31,CARTER,REPUBLICAN,78561.5325041591
2020,31,IMAM,DEMOCRAT,52295.225440247414
2020,31,PATTERSON,LIBERTARIAN,2851.3602269643034
2022,10,DOGGETT,DEMOCRAT,4.193558622877995
2022,10,GARCIA SHARON,REPUBLICAN,1.459622402030779
2022,10,PATTERSON,LIBERTARIAN,0.14976995081707126
2022,10,SESSIONS,REPUBLICAN,124.44073000170562
2022,10,TAYLOR,OTHER,0.0025384737426622245
2022,10,WOODS,DEMOCRAT,34.58570697595088
2022,11,CARTER,REPUBLICAN,1190.389980849758
2022,11,DOGGETT,DEMOCRAT,2999.9679549488933
2022,11,GARCIA SHARON,REPUBLICAN,1178.5359372003527
2022,11,KELSEY,LIBERTARIAN,36.71056000705538
2022,11,MCCAUL,REPUBLICAN,509.7007038908987
2022,11,NUNO,DEMOCRAT,682.4171026477804
2022,11,PATTERSON,LIBERTARIAN,108.82276655698199
2022,11,SESSIONS,REPUBLICAN,1878.5246496533844
2022,11,TAYLOR,OTHER,0.9948506088216964
2022,11,WOODS,DEMOCRAT,3200.2121867822757
2022,17,CARTER,REPUBLICAN,28464.5883293472
2022,17,DOGGETT,DEMOCRAT,9458.838486428229
2022,17,GARCIA SHARON,REPUBLICAN,3975.0044403976162
2022,17,KELSEY,LIBERTARIAN,470.24043008168263
2022,17,MCCAUL,REPUBLICAN,6758.286174866994
2022,17,NUNO,DEMOCRAT,8712.797357446354
2022,17,PATTERSON,LIBERTARIAN,337.027463492201
2022,17,SESSIONS,REPUBLICAN,6183.964939973946
2022,17,TAYLOR,OTHER,5.002610917435641
2022,17,WOODS,DEMOCRAT,7645.548122677179
2022,31,CARTER,REPUBLICAN,70745.02168980305
2022,31,KELSEY,LIBERTARIAN,6.049009911261953
2022,31,MCCAUL,REPUBLICAN,104.01312124210759
