old_precinct_id,new_district_id,fragment_population,precinct_total,weight
4910116,11,548,5241,0.10456019843541309
4910116,17,4693,5241,0.8954398015645869
4910117,11,0,13637,0.0
4910117,17,13637,13637,1.0
4910118,11,1302,7027,0.18528532802049238
4910118,17,5725,7027,0.8147146719795076
4910119,17,1419,10230,0.13870967741935483
4910119,31,8811,10230,0.8612903225806452
4910122,11,643,3495,0.18397711015736767
4910122,17,2207,3495,0.6314735336194564
4910122,31,645,3495,0.18454935622317598
4910123,17,14352,17062,0.8411675067401243
4910123,31,2710,17062,0.15883249325987575
4910135,11,7585,8366,0.9066459478842935
4910135,17,781,8366,0.09335405211570644
4910136,11,2715,2715,1.0
4910136,17,0,2715,0.0
4910138,11,5029,5819,0.8642378415535316
4910138,17,790,5819,0.13576215844646847
4910139,17,5777,14643,0.39452298026360716
4910139,31,8866,14643,0.6054770197363928
4910143,17,1893,2366,0.8000845308537616
4910143,31,473,2366,0.19991546914623837
4910144,17,2504,5688,0.44022503516174405
4910144,31,3184,5688,0.559774964838256
4910145,17,13067,17354,0.7529676155353233
4910145,31,4287,17354,0.24703238446467674
4910146,11,2269,17191,0.13198766796579606
4910146,17,14922,17191,0.8680123320342039
4910147,10,48,18909,0.0025384737426622245
4910147,11,6813,18909,0.36030461684911946
4910147,17,12048,18909,0.6371569094082183
4910149,17,11499,17705,0.6494775487150523
4910149,31,6206,17705,0.35052245128494774
4910150,11,2240,15584,0.1437371663244353
4910150,17,12125,15584,0.7780415811088296
4910150,31,1219,15584,0.07822125256673511
4910151,11,7194,18823,0.3821919991499761
4910151,17,11629,18823,0.6178080008500239
4910155,11,9115,13868,0.6572685318719353
4910155,17,4753,13868,0.3427314681280646
4910162,11,7258,12802,0.5669426652085612
4910162,17,5544,12802,0.4330573347914388
4910163,11,13096,23929,0.5472857202557566
4910163,17,9616,23929,0.40185548915541813
4910163,31,1217,23929,0.050858790588825274
4910164,11,1575,3066,0.5136986301369864
4910164,17,972,3066,0.31702544031311153
4910164,31,519,3066,0.16927592954990214
4910166,17,10071,10071,1.0
4910173,11,629,7192,0.0874582869855395
4910173,17,6563,7192,0.9125417130144605
4910174,17,9610,9610,1.0
4910175,11,2829,8684,0.32577153385536617
4910175,17,5855,8684,0.6742284661446338
4910180,11,5881,21589,0.27240724443003383
4910180,17,15078,21589,0.6984112279401548
4910180,31,630,21589,0.02918152762981148
4910181,11,2477,9135,0.27115489874110565
4910181,17,5934,9135,0.6495894909688014
4910181,31,724,9135,0.07925561029009305
4910182,17,761,4528,0.16806537102473498
4910182,31,3767,4528,0.831934628975265
4910184,17,2635,7449,0.35373875688011813
4910184,31,4814,7449,0.6462612431198819
4910186,17,9548,9548,1.0
4910189,17,10546,10546,1.0
4910191,17,233,3860,0.06036269430051813
4910191,31,3627,3860,0.9396373056994819
4910192,17,2172,6412,0.33873986275733
4910192,31,4240,6412,0.66126013724267
4910198,17,840,840,1.0
4910201,17,10174,10174,1.0
4910202,17,4899,5038,0.9724096863834855
4910202,31,139,5038,0.02759031361651449
4910203,17,1324,1324,1.0
4910204,17,13466,13466,1.0
4910205,17,2158,2158,1.0
4910206,11,627,4461,0.14055144586415602
4910206,31,3834,4461,0.859448554135844
4910207,31,7221,7221,1.0
4910208,31,4459,4459,1.0
4910209,31,8335,8335,1.0
4910210,31,7502,7502,1.0
4910216,11,134,4245,0.031566548881036514
4910216,17,4111,4245,0.9684334511189635
4910229,17,1675,1675,1.0
4910230,17,9243,9243,1.0
4910231,17,5555,5555,1.0
4910243,31,5038,5038,1.0
4910244,31,6152,6152,1.0
4910245,31,5018,5018,1.0
4910251,11,166,362,0.4585635359116022
4910251,31,196,362,0.5414364640883977
4910252,17,6712,12327,0.5444958221789568
4910252,31,5615,12327,0.45550417782104324
4910253,11,1092,11401,0.09578107183580388
4910253,17,10309,11401,0.9042189281641961
4910254,11,131,11770,0.011129991503823279
4910254,17,11639,11770,0.9888700084961767
4910255,31,5639,5639,1.0
4910256,11,798,10549,0.0756469807564698
4910256,17,2940,10549,0.278699402786994
4910256,31,6811,10549,0.6456536164565362
4910257,11,192,11991,0.016012009006755066
4910257,17,2512,11991,0.2094904511717121
4910257,31,9287,11991,0.7744975398215328
4910258,31,478,478,1.0
4910259,17,2740,4730,0.5792811839323467
4910259,31,1990,4730,0.42071881606765327
4910261,11,573,9320,0.06148068669527897
4910261,17,6391,9320,0.6857296137339056
4910261,31,2356,9320,0.25278969957081543
4910262,17,6643,7579,0.8765008576329331
4910262,31,936,7579,0.1234991423670669
4910263,11,687,10543,0.0651617186758987
4910263,17,8649,10543,0.820354737740681
4910263,31,1207,10543,0.11448354358342028
4910264,17,10889,13182,0.8260506751631012
4910264,31,2293,13182,0.1739493248368988
4910266,11,135,11482,0.011757533530743772
4910266,17,11347,11482,0.9882424664692562
4910267,31,4460,4460,1.0
4910276,11,865,4371,0.19789521848547242
4910276,17,3506,4371,0.8021047815145276
4910277,11,1211,12534,0.09661720121270145
4910277,17,11323,12534,0.9033827987872985
4910278,11,480,10941,0.043871675349602415
4910278,17,10461,10941,0.9561283246503975
4910279,11,271,615,0.44065040650406506
4910279,17,344,615,0.5593495934959349
4910283,17,11324,11324,1.0
4910284,11,666,10861,0.06132032041248504
4910284,17,10195,10861,0.938679679587515
4910287,11,434,5660,0.07667844522968198
4910287,17,5226,5660,0.9233215547703181
4910301,17,12593,12766,0.986448378505405
4910301,31,173,12766,0.013551621494595018
4910302,17,1500,1639,0.9151921903599756
4910302,31,139,1639,0.0848078096400244
4910303,17,7921,7921,1.0
4910305,31,5197,5197,1.0
4910306,31,7844,7844,1.0
4910307,31,1451,1451,1.0
4910308,31,1478,1478,1.0
4910309,31,7708,7708,1.0
4910310,31,4223,4223,1.0
4910311,31,998,998,1.0
4910312,31,3136,3136,1.0
4910314,31,9180,9180,1.0
4910317,11,643,6656,0.0966045673076923
4910317,17,6013,6656,0.9033954326923077
4910318,17,1766,1766,1.0
4910319,17,1555,2085,0.7458033573141487
4910319,31,530,2085,0.2541966426858513
4910320,17,3202,4868,0.6577649958915366
4910320,31,1666,4868,0.3422350041084634
4910321,17,562,562,1.0
4910322,11,643,5073,0.12674945791444905
4910322,17,3827,5073,0.7543859649122807
