year,new_district_id,candidate,party,estimated_votes
2016,15,Gonzalez,DEMOCRAT,4.394608926204154
2016,15,Leone,LIBERTARIAN,0.37781705700397705
2016,15,Tijerina,OTHER,0.5170128148475475
2016,15,Westley,REPUBLICAN,22.410517012814847
2016,28,Cary,OTHER,1.511141116643381
2016,28,Cuellar,DEMOCRAT,19.551327275966507
2016,28,Hardin,REPUBLICAN,36.57643252974767
2016,35,Cary,OTHER,367.4888588833566
2016,35,Cuellar,DEMOCRAT,5875.448672724033
2016,35,Gonzalez,DEMOCRAT,246.60539107379586
2016,35,Hardin,REPUBLICAN,10976.423567470252
2016,35,Leone,LIBERTARIAN,22.622182942996023
2016,35,Tijerina,OTHER,29.482987185152453
2016,35,Westley,REPUBLICAN,1358.5894829871852
2018,15,CRISTO,LIBERTARIAN,0.21873619089703933
2018,15,GONZALEZ,DEMOCRAT,4.195757843570481
2018,15,WESTLEY,REPUBLICAN,20.998674326115776
2018,28,CUELLAR,DEMOCRAT,25.33749472559003
2018,28,THOMAS,LIBERTARIAN,9.195557930993527
2018,35,CRISTO,LIBERTARIAN,12.781263809102962
2018,35,CUELLAR,DEMOCRAT,6836.66250527441
2018,35,GONZALEZ,DEMOCRAT,230.80424215642952
2018,35,THOMAS,LIBERTARIAN,3290.8044420690067
2018,35,WESTLEY,REPUBLICAN,1294.0013256738841
2020,15,DE LA CRUZ HERNANDEZ,REPUBLICAN,28.58635252278284
2020,15,GONZALEZ,DEMOCRAT,5.141142476105801
2020,15,LEONE,LIBERTARIAN,0.4000889086463658
2020,28,CONGDON,LIBERTARIAN,0.7637330565858794
2020,28,CUELLAR,DEMOCRAT,18.8132421848314
2020,28,WHITTEN,REPUBLICAN,51.117349091595905
2020,35,CONGDON,LIBERTARIAN,349.23626694341414
2020,35,CUELLAR,DEMOCRAT,6633.186757815169
2020,35,DE LA CRUZ HERNANDEZ,REPUBLICAN,1730.4136474772172
2020,35,GONZALEZ,DEMOCRAT,284.85885752389424
2020,35,LEONE,LIBERTARIAN,23.599911091353633
2020,35,WHITTEN,REPUBLICAN,15447.882650908405
2022,15,DE LA CRUZ,REPUBLICAN,22.016806722689076
2022,15,LEONE,LIBERTARIAN,0.47058823529411764
2022,15,VALLEJO,DEMOCRAT,3.310924369747899
2022,28,DE LA CRUZ,REPUBLICAN,61.83371759594192
2022,28,LEONE,LIBERTARIAN,0.6489046567489214
2022,28,VALLEJO,DEMOCRAT,13.408671761384397
2022,35,DE LA CRUZ,REPUBLICAN,14754.149475681368
2022,35,LEONE,LIBERTARIAN,305.880507107957
2022,35,VALLEJO,DEMOCRAT,4116.280403868867
2024,15,DE LA CRUZ,REPUBLICAN,31.76470588235294
2024,15,VALLEJO,DEMOCRAT,5.764705882352941
2024,28,DE LA CRUZ,REPUBLICAN,83.26921234063211
2024,28,VALLEJO,DEMOCRAT,19.150166752491284
2024,35,DE LA CRUZ,REPUBLICAN,20670.966081777016
2024,35,VALLEJO,DEMOCRAT,5951.085127365155
