old_precinct_id,new_district_id,fragment_population,precinct_total,weight
4930101,35,7221,7221,1.0
4930102,35,4717,4717,1.0
4930103,35,7137,7137,1.0
4930104,28,185,4225,0.04378698224852071
4930104,35,4040,4225,0.9562130177514793
4930205,28,151,5619,0.026873109094144865
4930205,35,5468,5619,0.9731268909058551
4930206,35,5383,5383,1.0
4930207,35,6744,6744,1.0
4930311,35,6475,6475,1.0
4930312,35,7038,7038,1.0
4930313,35,8708,8708,1.0
4930414,15,90,5355,0.01680672268907563
4930414,35,5265,5355,0.9831932773109243
4930415,35,10729,10729,1.0
4930416,35,4329,4329,1.0
