year,new_district_id,candidate,party,estimated_votes
2016,11,Corvalan,LIBERTARIAN,0.3024030888992999
2016,11,Gallego,DEMOCRAT,2.5647193702302253
2016,11,Hurd,REPUBLICAN,7.2213632826273715
2016,19,Corvalan,LIBERTARIAN,0.0381076550568076
2016,19,Gallego,DEMOCRAT,0.21928736192099946
2016,19,Hurd,REPUBLICAN,1.0245125148645355
2016,23,Corvalan,LIBERTARIAN,45.65948925604389
2016,23,Gallego,DEMOCRAT,395.2159932678488
2016,23,Hurd,REPUBLICAN,1400.7541242025081
2018,11,CORVALAN,LIBERTARIAN,0.09908799585105924
2018,11,HURD,REPUBLICAN,5.609291291894226
2018,11,ORTIZ JONES,DEMOCRAT,2.10232143425588
2018,19,CORVALAN,LIBERTARIAN,0.005080447583707036
2018,19,HURD,REPUBLICAN,0.7925541212373024
2018,19,ORTIZ JONES,DEMOCRAT,0.1828961130134533
2018,23,CORVALAN,LIBERTARIAN,15.895831556565234
2018,23,HURD,REPUBLICAN,1103.5981545868683
2018,23,ORTIZ JONES,DEMOCRAT,319.7147824527307
2020,11,GONZALES,REPUBLICAN,8.456070641336817
2020,11,ORTIZ JONES,DEMOCRAT,2.686140663912583
2020,11,VILLELA,LIBERTARIAN,0.2957442594805073
2020,19,GONZALES,REPUBLICAN,1.1389175820178947
2020,19,ORTIZ JONES,DEMOCRAT,0.21962610024005236
2020,19,VILLELA,LIBERTARIAN,0.04001600349167091
2020,23,GONZALES,REPUBLICAN,1614.4050117766453
2020,23,ORTIZ JONES,DEMOCRAT,385.09423323584735
2020,23,VILLELA,LIBERTARIAN,49.66423973702781
2022,11,GONZALES,REPUBLICAN,5.495692085461352
2022,11,LIRA,DEMOCRAT,1.1352750039754973
2022,11,LOPEZ,OTHER,0.3005972275557796
2022,19,GONZALES,REPUBLICAN,0.7099658107223394
2022,19,LIRA,DEMOCRAT,0.09453698988870299
2022,19,LOPEZ,OTHER,0.03321451953153415
2022,23,GONZALES,REPUBLICAN,1079.7943421038162
2022,23,LIRA,DEMOCRAT,153.7701880061358
2022,23,LOPEZ,OTHER,53.66618825291269
2024,11,GONZALES,REPUBLICAN,8.348685877130062
2024,11,LIMON,DEMOCRAT,1.6678647434281644
2024,19,GONZALES,REPUBLICAN,1.0614825052738779
2024,19,LIMON,DEMOCRAT,0.15491379937440897
2024,23,GONZALES,REPUBLICAN,1591.589831617596
2024,23,LIMON,DEMOCRAT,243.17722145719742
