old_precinct_id,new_district_id,fragment_population,precinct_total,weight
4970001,13,2560,6095,0.4200164068908942
4970001,26,3535,6095,0.5799835931091059
4970002,13,871,10077,0.0864344546988191
4970002,26,9206,10077,0.913565545301181
4970003,13,1583,1646,0.9617253948967193
4970003,26,63,1646,0.03827460510328068
4970004,13,682,720,0.9472222222222222
4970004,26,38,720,0.05277777777777778
4970005,26,4625,4625,1.0
4970006,26,4744,4744,1.0
4970007,13,281,3699,0.07596647742633145
4970007,26,3418,3699,0.9240335225736686
4970008,13,2658,6363,0.41772748703441775
4970008,26,3705,6363,0.5822725129655822
4970009,13,4132,4332,0.9538319482917821
4970009,26,200,4332,0.046168051708217916
4970010,13,1554,1610,0.9652173913043478
4970010,25,56,1610,0.034782608695652174
4970011,13,1611,2401,0.6709704289879217
4970011,25,205,2401,0.085381091211995
4970011,26,585,2401,0.2436484798000833
4970012,13,1778,5619,0.31642641039330843
4970012,25,179,5619,0.03185620217120484
4970012,26,3662,5619,0.6517173874354868
4970013,26,3719,3719,1.0
4970014,26,6955,6955,1.0
4970015,25,3,1783,0.0016825574873808188
4970015,26,1780,1783,0.9983174425126192
4970016,12,947,6204,0.1526434558349452
4970016,25,111,6204,0.017891682785299807
4970016,26,5146,6204,0.829464861379755
4970017,26,5505,5505,1.0
4970018,13,99,3934,0.02516522623284189
4970018,26,3835,3934,0.9748347737671581
4970019,25,2,940,0.002127659574468085
4970019,26,938,940,0.997872340425532
4970020,12,436,3664,0.11899563318777293
4970020,26,3228,3664,0.881004366812227
4970022,26,2929,2929,1.0
4970023,26,4978,4978,1.0
4970024,12,1195,8118,0.14720374476472037
4970024,26,6923,8118,0.8527962552352796
4970025,26,551,551,1.0
4970027,12,1833,10609,0.1727778301442172
4970027,26,8776,10609,0.8272221698557828
