year,new_district_id,candidate,party,estimated_votes
2016,1,Ashby,LIBERTARIAN,0.1384217335058215
2016,1,Gohmert,REPUBLICAN,23.214058553311787
2016,1,Gray,LIBERTARIAN,0.43839600047114874
2016,1,Hensarling,REPUBLICAN,2.015523932729625
2016,1,McKellar,DEMOCRAT,4.265645408263425
2016,3,Ashby,LIBERTARIAN,11.85437198416609
2016,3,Gohmert,REPUBLICAN,42.607097858042835
2016,3,Gray,LIBERTARIAN,0.8788324233515329
2016,3,Hensarling,REPUBLICAN,165.65576707084014
2016,3,McKellar,DEMOCRAT,6.379672406551868
2016,5,Ashby,LIBERTARIAN,1.2024835141544568
2016,5,Hensarling,REPUBLICAN,16.847323003661334
2016,32,Ashby,LIBERTARIAN,680.8047227681736
2016,32,Gohmert,REPUBLICAN,6048.178843588646
2016,32,Gray,LIBERTARIAN,102.68277157617732
2016,32,Hensarling,REPUBLICAN,9536.481385992769
2016,32,McKellar,DEMOCRAT,965.3546821851846
2018,1,CALLAWAY,LIBERTARIAN,0.40389613788951567
2018,1,GOHMERT,REPUBLICAN,20.604092449842298
2018,1,GOODEN,REPUBLICAN,1.7270375161707634
2018,1,MCKELLAR,DEMOCRAT,3.863614233925323
2018,1,WOOD,DEMOCRAT,0.38680465717981893
2018,3,CALLAWAY,LIBERTARIAN,0.5207895842083158
2018,3,GOHMERT,REPUBLICAN,38.57097858042839
2018,3,GOODEN,REPUBLICAN,146.57200123871195
2018,3,MCKELLAR,DEMOCRAT,6.0216295674086515
2018,3,WOOD,DEMOCRAT,25.22708877952023
2018,5,GOODEN,REPUBLICAN,15.52096223635399
2018,5,WOOD,DEMOCRAT,2.759808445847284
2018,32,CALLAWAY,LIBERTARIAN,63.075314277902166
2018,32,GOHMERT,REPUBLICAN,5466.82492896973
2018,32,GOODEN,REPUBLICAN,8381.179999008764
2018,32,MCKELLAR,DEMOCRAT,976.114756198666
2018,32,WOOD,DEMOCRAT,1535.6262981174527
2020,1,GILBERT,DEMOCRAT,5.251479537750789
2020,1,GOHMERT,REPUBLICAN,29.373410200369072
2020,1,GOODEN,REPUBLICAN,2.2121604139715396
2020,1,HALE,LIBERTARIAN,0.05045278137128073
2020,1,SALTER,DEMOCRAT,0.5316946959896508
2020,3,GILBERT,DEMOCRAT,8.918521629567408
2020,3,GOHMERT,REPUBLICAN,52.92524149517009
2020,3,GOODEN,REPUBLICAN,195.03839107268738
2020,3,HALE,LIBERTARIAN,3.9934108275655538
2020,3,SALTER,DEMOCRAT,31.468938638908096
2020,5,GOODEN,REPUBLICAN,21.108741733293584
2020,5,HALE,LIBERTARIAN,0.31475966196593896
2020,5,SALTER,DEMOCRAT,3.4932987681297476
2020,32,GILBERT,DEMOCRAT,1346.8299988326821
2020,32,GOHMERT,REPUBLICAN,7173.701348304461
2020,32,GOODEN,REPUBLICAN,11319.640706780048
2020,32,HALE,LIBERTARIAN,212.6413767290972
2020,32,SALTER,DEMOCRAT,1946.5060678969726
2022,1,GOODEN,REPUBLICAN,25.010262972177866
2022,1,HALE,LIBERTARIAN,0.5306131534223032
2022,1,HILL,DEMOCRAT,3.57360526621924
2022,3,GOODEN,REPUBLICAN,201.969654197425
2022,3,HALE,LIBERTARIAN,3.11495990381417
2022,3,HILL,DEMOCRAT,29.640456625419255
2022,5,GOODEN,REPUBLICAN,17.67576115991525
2022,5,HALE,LIBERTARIAN,0.26975603264099346
2022,5,HILL,DEMOCRAT,2.485264640688258
2022,32,GOODEN,REPUBLICAN,15094.34432167048
2022,32,HALE,LIBERTARIAN,251.08467091012253
2022,32,HILL,DEMOCRAT,2214.3006734676737
2024,1,GOODEN,REPUBLICAN,35.18834133364504
2024,1,TORRES,DEMOCRAT,5.9216181126567164
2024,3,GOODEN,REPUBLICAN,271.72832473415326
2024,3,TORRES,DEMOCRAT,41.340480889742835
2024,5,GOODEN,REPUBLICAN,23.60020594392059
2024,5,TORRES,DEMOCRAT,3.5733938013658775
2024,32,GOODEN,REPUBLICAN,20377.483127988282
2024,32,TORRES,DEMOCRAT,3307.1645071962344
