old_precinct_id,new_district_id,fragment_population,precinct_total,weight
4990011,3,34,5798,0.005864091065884788
4990011,32,5764,5798,0.9941359089341152
4990012,3,278,5378,0.05169207883971737
4990012,32,5100,5378,0.9483079211602826
4990013,5,31,3387,0.009152642456451136
4990013,32,3356,3387,0.9908473575435489
4990014,32,2303,2303,1.0
4990021,1,57,1635,0.03486238532110092
4990021,32,1578,1635,0.9651376146788991
4990022,1,0,8266,0.0
4990022,5,31,8266,0.003750302443745463
4990022,32,8235,8266,0.9962496975562546
4990023,1,8,6184,0.00129366106080207
4990023,32,6176,6184,0.9987063389391979
4990031,32,3187,3187,1.0
4990032,32,5180,5180,1.0
4990033,1,52,5608,0.009272467902995721
4990033,32,5556,5608,0.9907275320970043
4990041,32,2217,2217,1.0
4990042,3,155,4762,0.032549349013019736
4990042,32,4607,4762,0.9674506509869802
4990043,3,355,6473,0.05484319480920748
4990043,32,6118,6473,0.9451568051907925
4990044,32,2226,2226,1.0
