year,new_district_id,candidate,party,estimated_votes
2016,13,Arrington,REPUBLICAN,13.171070224120479
2016,13,Bonar,LIBERTARIAN,0.5351015812856184
2016,13,Lawson,OTHER,0.3901875414240802
2016,19,Arrington,REPUBLICAN,17.718205517850027
2016,19,Bonar,LIBERTARIAN,0.5758615094087308
2016,19,Lawson,OTHER,0.5300622059337134
2016,25,Arrington,REPUBLICAN,6601.110724258029
2016,25,Bonar,LIBERTARIAN,375.8890369093057
2016,25,Lawson,OTHER,180.0797502526422
2018,13,ARRINGTON,REPUBLICAN,11.374159441362245
2018,13,LEVARIO,DEMOCRAT,1.7507435451911362
2018,19,ARRINGTON,REPUBLICAN,16.194995568928466
2018,19,LEVARIO,DEMOCRAT,1.373577917116763
2018,25,ARRINGTON,REPUBLICAN,5549.43084498971
2018,25,LEVARIO,DEMOCRAT,763.8756785376921
2020,13,ARRINGTON,REPUBLICAN,15.0137956905137
2020,13,BURNES,LIBERTARIAN,0.4080618693519085
2020,13,WATSON,DEMOCRAT,2.16472149005967
2020,19,ARRINGTON,REPUBLICAN,20.108079338780087
2020,19,BURNES,LIBERTARIAN,0.22515658637008834
2020,19,WATSON,DEMOCRAT,1.9637905857250288
2020,25,ARRINGTON,REPUBLICAN,7012.878124970706
2020,25,BURNES,LIBERTARIAN,140.366781544278
2020,25,WATSON,DEMOCRAT,883.8714879242154
2022,13,WILLIAMS,REPUBLICAN,12.680088822307575
2022,19,WILLIAMS,REPUBLICAN,17.1560422254532
2022,25,WILLIAMS,REPUBLICAN,5574.16386895224
2024,13,HAGG,OTHER,0.14248118103919974
2024,13,WILLIAMS,REPUBLICAN,17.11629453732184
2024,19,HAGG,OTHER,0.198155686273858
2024,19,WILLIAMS,REPUBLICAN,22.73308566306961
2024,25,HAGG,OTHER,56.65936313268694
2024,25,WILLIAMS,REPUBLICAN,7472.150619799609
