year,new_district_id,candidate,party,estimated_votes
2016,23,Corvalan,LIBERTARIAN,144.48378251320133
2016,23,Gallego,DEMOCRAT,2459.359883630113
2016,23,Hurd,REPUBLICAN,615.1750441580781
2016,28,Corvalan,LIBERTARIAN,0.5162174867986655
2016,28,Gallego,DEMOCRAT,9.640116369887018
2016,28,Hurd,REPUBLICAN,1.8249558419218548
2018,23,CORVALAN,LIBERTARIAN,53.842895989693204
2018,23,HURD,REPUBLICAN,555.4176034662395
2018,23,ORTIZ JONES,DEMOCRAT,2261.404350611233
2018,28,CORVALAN,LIBERTARIAN,0.15710401030679982
2018,28,HURD,REPUBLICAN,1.5823965337604513
2018,28,ORTIZ JONES,DEMOCRAT,8.595649388766965
2020,23,GONZALES,REPUBLICAN,1209.918583793417
2020,23,ORTIZ JONES,DEMOCRAT,2835.7975382754557
2020,23,VILLELA,LIBERTARIAN,105.5733231498384
2020,28,GONZALES,REPUBLICAN,4.081416206583027
2020,28,ORTIZ JONES,DEMOCRAT,11.202461724544222
2020,28,VILLELA,LIBERTARIAN,0.4266768501615826
2022,23,GONZALES,REPUBLICAN,770.6849805864143
2022,23,LIRA,DEMOCRAT,1375.8319677572433
2022,23,LOPEZ,OTHER,106.62255515909649
2022,28,GONZALES,REPUBLICAN,2.315019413585773
2022,28,LIRA,DEMOCRAT,5.16803224275678
2022,28,LOPEZ,OTHER,0.37744484090350544
2024,23,GONZALES,REPUBLICAN,1386.4154449138684
2024,23,LIMON,DEMOCRAT,1661.449822820675
2024,28,GONZALES,REPUBLICAN,4.584555086131597
2024,28,LIMON,DEMOCRAT,6.550177179325067
