"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
1,"U.S. Representative, District 10 (Vote For 1)","Michael McCaul","(R)",39865,52.26,137254,77829,44,44,"0","0"
2,"U.S. Representative, District 10 (Vote For 1)","Linda Nuno","(D)",34404,45.10,137254,77829,44,44,"0","0"
3,"U.S. Representative, District 10 (Vote For 1)","Bill Kelsey","(L)",2014,2.64,137254,77829,44,44,"0","0"
4,"U.S. Representative, District 17 (Vote For 1)","Pete Sessions","(R)",7548,34.82,46596,22205,17,17,"0","0"
5,"U.S. Representative, District 17 (Vote For 1)","Mary Jo Woods","(D)",14131,65.18,46596,22205,17,17,"0","0"
6,"U.S. Representative, District 21 (Vote For 1)","Chip Roy","(R)",5150,42.47,20881,12430,7,7,"0","0"
7,"U.S. Representative, District 21 (Vote For 1)","Claudia Andreana Zapata","(D)",6975,57.53,20881,12430,7,7,"0","0"
8,"U.S. Representative, District 35 (Vote For 1)","Dan McQueen","(R)",12859,17.30,178133,76518,58,58,"0","0"
9,"U.S. Representative, District 35 (Vote For 1)","Greg Casar","(D)",61461,82.70,178133,76518,58,58,"0","0"
10,"U.S. Representative, District 37 (Vote For 1)","Jenny Garcia Sharon","(R)",54865,20.43,504143,275204,161,161,"0","0"
11,"U.S. Representative, District 37 (Vote For 1)","Lloyd Doggett","(D)",207612,77.31,504143,275204,161,161,"0","0"
12,"U.S. Representative, District 37 (Vote For 1)","Clark Patterson","(L)",5906,2.20,504143,275204,161,161,"0","0"
13,"U.S. Representative, District 37 (Vote For 1)","Write-in","NON",174,0.06,504143,275204,161,161,"0","0"
14,"Governor (Vote For 1)","Greg Abbott","(R)",119577,25.85,887007,464186,287,287,"0","0"
15,"Governor (Vote For 1)","Beto O'Rourke","(D)",335810,72.59,887007,464186,287,287,"0","0"
16,"Governor (Vote For 1)","Mark Tippetts","(L)",5518,1.19,887007,464186,287,287,"0","0"
17,"Governor (Vote For 1)","Delilah Barrios","(G)",1333,0.29,887007,464186,287,287,"0","0"
18,"Governor (Vote For 1)","Write-in","NON",359,0.08,887007,464186,287,287,"0","0"
19,"Lieutenant Governor (Vote For 1)","Dan Patrick","(R)",114201,24.98,887007,464186,287,287,"0","0"
20,"Lieutenant Governor (Vote For 1)","Mike Collier","(D)",328748,71.90,887007,464186,287,287,"0","0"
21,"Lieutenant Governor (Vote For 1)","Shanna Steele","(L)",14308,3.13,887007,464186,287,287,"0","0"
22,"Attorney General (Vote For 1)","Ken Paxton","(R)",110328,24.22,887007,464186,287,287,"0","0"
23,"Attorney General (Vote For 1)","Rochelle Mercedes Garza","(D)",330894,72.64,887007,464186,287,287,"0","0"
24,"Attorney General (Vote For 1)","Mark Ash","(L)",14278,3.13,887007,464186,287,287,"0","0"
25,"Comptroller of Public Accounts (Vote For 1)","Glenn Hegar","(R)",131849,29.15,887007,464186,287,287,"0","0"
26,"Comptroller of Public Accounts (Vote For 1)","Janet T. Dudding","(D)",306510,67.76,887007,464186,287,287,"0","0"
27,"Comptroller of Public Accounts (Vote For 1)","V. Alonzo Echevarria-Garza","(L)",13975,3.09,887007,464186,287,287,"0","0"
28,"Commissioner of the General Land Office (Vote For 1)","Dawn Buckingham","(R)",126741,28.08,887007,464186,287,287,"0","0"
29,"Commissioner of the General Land Office (Vote For 1)","Jay Kleberg","(D)",315848,69.98,887007,464186,287,287,"0","0"
30,"Commissioner of the General Land Office (Vote For 1)","Alfred Molison, Jr.","(G)",8461,1.87,887007,464186,287,287,"0","0"
31,"Commissioner of the General Land Office (Vote For 1)","Write-in","NON",270,0.06,887007,464186,287,287,"0","0"
32,"Commissioner of Agriculture (Vote For 1)","Sid Miller","(R)",125202,27.76,887007,464186,287,287,"0","0"
33,"Commissioner of Agriculture (Vote For 1)","Susan Hays","(D)",325809,72.24,887007,464186,287,287,"0","0"
34,"Railroad Commissioner (Vote For 1)","Wayne Christian","(R)",121631,27.04,887007,464186,287,287,"0","0"
35,"Railroad Commissioner (Vote For 1)","Luke Warford","(D)",306038,68.03,887007,464186,287,287,"0","0"
36,"Railroad Commissioner (Vote For 1)","Jaime Andres Diez","(L)",15868,3.53,887007,464186,287,287,"0","0"
37,"Railroad Commissioner (Vote For 1)","Hunter Wayne Crow","(G)",6306,1.40,887007,464186,287,287,"0","0"
38,"Justice, Supreme Court, Place 3 (Vote For 1)","Debra Lehrmann","(R)",122295,27.16,887007,464186,287,287,"0","0"
39,"Justice, Supreme Court, Place 3 (Vote For 1)","Erin A. Nowell","(D)",317139,70.44,887007,464186,287,287,"0","0"
40,"Justice, Supreme Court, Place 3 (Vote For 1)","Thomas Edward Oxford","(L)",10761,2.39,887007,464186,287,287,"0","0"
41,"Justice, Supreme Court, Place 5 (Vote For 1)","Rebeca Huddle","(R)",126656,28.22,887007,464186,287,287,"0","0"
42,"Justice, Supreme Court, Place 5 (Vote For 1)","Amanda Reichek","(D)",322090,71.78,887007,464186,287,287,"0","0"
43,"Justice, Supreme Court, Place 9 (Vote For 1)","Evan Young","(R)",123403,27.50,887007,464186,287,287,"0","0"
44,"Justice, Supreme Court, Place 9 (Vote For 1)","Julia Maldonado","(D)",325356,72.50,887007,464186,287,287,"0","0"
45,"Judge, Court of Criminal Appeals, Place 5 (Vote For 1)","Scott Walker","(R)",124393,27.84,887007,464186,287,287,"0","0"
46,"Judge, Court of Criminal Appeals, Place 5 (Vote For 1)","Dana Huffman","(D)",322349,72.16,887007,464186,287,287,"0","0"
47,"Judge, Court of Criminal Appeals, Place 6 (Vote For 1)","Jesse F. McClure, III","(R)",125977,28.24,887007,464186,287,287,"0","0"
48,"Judge, Court of Criminal Appeals, Place 6 (Vote For 1)","Robert Johnson","(D)",320144,71.76,887007,464186,287,287,"0","0"
49,"Member, State Board of Education, District 5 (Vote For 1)","Perla Muñoz Hopkins","(R)",125281,28.14,887007,464186,287,287,"0","0"
50,"Member, State Board of Education, District 5 (Vote For 1)","Rebecca Bell-Metereau","(D)",319925,71.86,887007,464186,287,287,"0","0"
51,"State Senator, District 14 (Vote For 1)","Sarah Eckhardt","(D)",265994,82.25,667588,354003,216,216,"0","0"
