county_name,county_fips,category,note,seconds
ANDERSON,48001,clean,,78.9
ANDREWS,48003,clean,,62.5
ANGELINA,48005,clean,,105.9
ARANSAS,48007,clean,,66.9
ARCHER,48009,clean,,60.6
ARMSTRONG,48011,clean,,58.5
ATASCOSA,48013,clean,,77.8
AUSTIN,48015,clean,,68.0
BAILEY,48017,clean,,63.1
BANDERA,48019,clean,,66.4
BASTROP,48021,clean,,86.9
BAYLOR,48023,clean,,60.4
BEE,48025,clean,,70.6
BELL,48027,clean,,135.0
BLANCO,48031,clean,,60.2
BORDEN,48033,clean,,57.2
BOSQUE,48035,clean,,72.7
BOWIE,48037,review,leakage 608 votes (1.611%) in 2020,89.1
BRAZORIA,48039,clean,,117.3
BRAZOS,48041,clean,,96.3
BREWSTER,48043,clean,,73.4
BRISCOE,48045,clean,,59.3
BROOKS,48047,review,leakage 115 votes (6.183%) in 2018,60.8
BROWN,48049,clean,,83.3
BURLESON,48051,clean,,66.6
BURNET,48053,clean,,72.7
CALDWELL,48055,clean,,70.6
CALHOUN,48057,clean,,71.5
CALLAHAN,48059,clean,,64.1
CAMP,48063,clean,,69.2
CARSON,48065,clean,,61.1
CASS,48067,review,leakage 161 votes (1.190%) in 2020,73.6
CASTRO,48069,clean,,63.2
CHAMBERS,48071,clean,,70.4
CHEROKEE,48073,clean,,78.4
CHILDRESS,48075,clean,,60.7
CLAY,48077,clean,,61.2
COCHRAN,48079,clean,,60.7
COKE,48081,clean,,64.1
COLEMAN,48083,clean,,72.4
COLLINGSWORTH,48087,clean,,59.2
COLORADO,48089,clean,,67.2
COMAL,48091,clean,,76.5
COMANCHE,48093,clean,,73.3
CONCHO,48095,clean,,63.7
COOKE,48097,clean,,68.2
CORYELL,48099,clean,,81.1
COTTLE,48101,clean,,60.5
CRANE,48103,clean,,61.2
CROCKETT,48105,clean,,67.3
CROSBY,48107,clean,,61.9
CULBERSON,48109,clean,,64.6
DALLAM,48111,clean,,59.7
DALLAS,48113,clean,,479.8
DAWSON,48115,clean,,60.6
DEWITT,48123,clean,,71.2
DEAF SMITH,48117,clean,,61.3
DELTA,48119,clean,,62.3
DENTON,48121,clean,,173.8
DICKENS,48125,clean,,60.6
DIMMIT,48127,clean,,61.0
DONLEY,48129,clean,,65.3
DUVAL,48131,clean,,62.9
EASTLAND,48133,clean,,66.2
ECTOR,48135,clean,,97.2
EDWARDS,48137,clean,,62.2
EL PASO,48141,clean,,153.5
ELLIS,48139,clean,,82.2
ERATH,48143,clean,,65.9
FALLS,48145,clean,,70.1
FANNIN,48147,clean,,73.0
FAYETTE,48149,review,leakage 3544 votes (27.142%) in 2024,73.1
FISHER,48151,clean,,60.8
FLOYD,48153,clean,,65.9
FOARD,48155,clean,,61.4
FRANKLIN,48159,review,leakage 35 votes (0.718%) in 2020,69.3
FREESTONE,48161,clean,,70.3
FRIO,48163,clean,,69.4
GAINES,48165,clean,,59.7
GARZA,48169,clean,,60.4
GILLESPIE,48171,clean,,70.1
GLASSCOCK,48173,clean,,62.2
GOLIAD,48175,clean,,63.1
GONZALES,48177,clean,,69.7
GRAY,48179,clean,,62.2
GRAYSON,48181,clean,,95.4
GREGG,48183,clean,,85.9
GRIMES,48185,partial,clean on 4 cycles; missing 1 yr(s): [2016],72.6
GUADALUPE,48187,clean,,90.7
HALE,48189,clean,,70.5
HALL,48191,clean,,61.3
HAMILTON,48193,clean,,64.0
HANSFORD,48195,clean,,60.4
HARDEMAN,48197,clean,,60.7
HARDIN,48199,clean,,73.3
HARRIS,48201,clean,,830.1
HARRISON,48203,clean,,76.8
HARTLEY,48205,clean,,58.8
HASKELL,48207,clean,,61.2
HAYS,48209,clean,,90.7
HEMPHILL,48211,clean,,60.6
HENDERSON,48213,clean,,86.2
HILL,48217,clean,,76.5
HOCKLEY,48219,clean,,65.3
HOOD,48221,clean,,62.3
HOPKINS,48223,clean,,78.6
HOUSTON,48225,partial,clean on 4 cycles; missing 1 yr(s): [2016],76.3
HOWARD,48227,clean,,61.5
HUDSPETH,48229,clean,,66.2
HUNT,48231,clean,,95.8
HUTCHINSON,48233,clean,,61.7
IRION,48235,clean,,63.5
JACK,48237,clean,,61.7
JACKSON,48239,clean,,69.4
JASPER,48241,clean,,68.4
JEFF DAVIS,48243,clean,,60.0
JEFFERSON,48245,clean,,128.5
JIM HOGG,48247,clean,,58.5
JIM WELLS,48249,clean,,72.5
JOHNSON,48251,clean,,75.4
JONES,48253,clean,,60.3
KARNES,48255,clean,,70.4
KAUFMAN,48257,clean,,88.1
KENDALL,48259,clean,,66.7
KENEDY,48261,clean,,58.8
KENT,48263,clean,,58.9
KERR,48265,clean,,77.0
KIMBLE,48267,clean,,65.1
KING,48269,clean,,58.2
KINNEY,48271,clean,,64.2
KLEBERG,48273,clean,,65.4
KNOX,48275,clean,,61.1
LA SALLE,48283,clean,,59.4
LAMAR,48277,review,leakage 7664 votes (37.191%) in 2024,72.3
LAMB,48279,clean,,65.6
LAMPASAS,48281,clean,,62.6
LAVACA,48285,clean,,69.3
LEE,48287,clean,,67.2
LEON,48289,clean,,68.1
LIBERTY,48291,clean,,92.8
LIMESTONE,48293,clean,,71.8
LIPSCOMB,48295,clean,,58.0
LIVE OAK,48297,clean,,63.7
LLANO,48299,clean,,69.7
LOVING,48301,clean,,57.7
LUBBOCK,48303,clean,,94.0
LYNN,48305,clean,,62.0
MADISON,48313,partial,clean on 4 cycles; missing 1 yr(s): [2016],60.8
MARION,48315,clean,,63.5
MARTIN,48317,clean,,60.9
MASON,48319,clean,,62.2
MATAGORDA,48321,clean,,76.8
MAVERICK,48323,clean,,71.3
MCCULLOCH,48307,clean,,73.6
MCLENNAN,48309,clean,,121.6
MCMULLEN,48311,clean,,58.8
MEDINA,48325,clean,,74.9
MENARD,48327,clean,,61.0
MIDLAND,48329,clean,,98.4
MILAM,48331,clean,,72.1
MILLS,48333,clean,,63.7
MITCHELL,48335,clean,,59.4
MONTAGUE,48337,clean,,66.4
MONTGOMERY,48339,partial,clean on 4 cycles; missing 1 yr(s): [2016],181.2
MOORE,48341,clean,,60.7
MORRIS,48343,clean,,71.0
MOTLEY,48345,clean,,60.2
NACOGDOCHES,48347,clean,,76.0
NAVARRO,48349,clean,,83.6
NEWTON,48351,clean,,65.0
NOLAN,48353,clean,,60.4
NUECES,48355,clean,,138.9
OCHILTREE,48357,clean,,59.1
OLDHAM,48359,clean,,59.2
ORANGE,48361,clean,,79.1
PALO PINTO,48363,clean,,65.0
PANOLA,48365,clean,,67.1
PARKER,48367,clean,,72.2
