county_fips,county_name,status,notebook_path,population_2020,notes
48001,Anderson,not_started,,57922,
48003,Andrews,not_started,,18610,
48005,Angelina,not_started,,86395,
48007,Aransas,not_started,,23830,
48009,Archer,not_started,,8560,
48011,Armstrong,not_started,,1848,
48013,Atascosa,not_started,,48981,
48015,Austin,not_started,,30167,
48017,Bailey,not_started,,6904,
48019,Bandera,not_started,,20851,
48021,Bastrop,not_started,,97216,
48023,Baylor,not_started,,3465,
48025,Bee,not_started,,31047,
48027,Bell,not_started,,370647,
48029,Bexar,done,notebooks/07_time_series_pipeline_bexar.ipynb,2009324,2018 patch real (1148->1162); committed file was short until fixed
48031,Blanco,not_started,,11374,
48033,Borden,not_started,,631,
48035,Bosque,not_started,,18235,
48037,Bowie,not_started,,92893,
48039,Brazoria,not_started,,372031,
48041,Brazos,not_started,,233849,
48043,Brewster,not_started,,9546,
48045,Briscoe,not_started,,1435,
48047,Brooks,not_started,,7076,
48049,Brown,not_started,,38095,
48051,Burleson,not_started,,17642,
48053,Burnet,not_started,,49130,
48055,Caldwell,not_started,,45883,
48057,Calhoun,not_started,,20106,
48059,Callahan,not_started,,13708,
48061,Cameron,done,notebooks/07_time_series_pipeline_cameron.ipynb,421017,2018 patch real (106->107); committed file was short until fixed
48063,Camp,not_started,,12464,
48065,Carson,not_started,,5807,
48067,Cass,not_started,,28454,
48069,Castro,not_started,,7371,
48071,Chambers,not_started,,46571,
48073,Cherokee,not_started,,50412,
48075,Childress,not_started,,6664,
48077,Clay,not_started,,10218,
48079,Cochran,not_started,,2547,
48081,Coke,not_started,,3285,
48083,Coleman,not_started,,7684,
48085,Collin,done,notebooks/07_time_series_pipeline_collin.ipynb,1064465,2018 patch real (316->334); committed file was short until fixed
48087,Collingsworth,not_started,,2652,
48089,Colorado,not_started,,20557,
48091,Comal,not_started,,161501,
48093,Comanche,not_started,,13594,
48095,Concho,not_started,,3303,
48097,Cooke,not_started,,41668,
48099,Coryell,not_started,,83093,
48101,Cottle,not_started,,1380,
48103,Crane,not_started,,4675,
48105,Crockett,not_started,,3098,
48107,Crosby,not_started,,5133,
48109,Culberson,not_started,,2188,
48111,Dallam,not_started,,7115,
48113,Dallas,not_started,,2613539,
48115,Dawson,not_started,,12456,
48123,DeWitt,not_started,,19824,
48117,Deaf Smith,not_started,,18583,
48119,Delta,not_started,,5230,
48121,Denton,not_started,,906422,
48125,Dickens,not_started,,1770,
48127,Dimmit,not_started,,8615,
48129,Donley,not_started,,3258,
48131,Duval,not_started,,9831,
48133,Eastland,not_started,,17725,
48135,Ector,not_started,,165171,
48137,Edwards,not_started,,1422,
48141,El Paso,not_started,,865657,
48139,Ellis,not_started,,192455,
48143,Erath,not_started,,42545,
48145,Falls,not_started,,16968,
48147,Fannin,not_started,,35662,
48149,Fayette,not_started,,24435,
48151,Fisher,not_started,,3672,
48153,Floyd,not_started,,5402,
48155,Foard,not_started,,1095,
48157,Fort Bend,done,notebooks/07_time_series_pipeline_fort_bend.ipynb,822779,had an endpoint-uncontested case previously
48159,Franklin,not_started,,10359,
48161,Freestone,not_started,,19435,
48163,Frio,not_started,,18385,
48165,Gaines,not_started,,21598,
48167,Galveston,done,notebooks/07_time_series_pipeline_galveston.ipynb,350682,patch cell present but no-op (114=114)
48169,Garza,not_started,,5816,
48171,Gillespie,not_started,,26725,
48173,Glasscock,not_started,,1116,
48175,Goliad,not_started,,7012,
48177,Gonzales,not_started,,19653,
48179,Gray,not_started,,21227,
48181,Grayson,not_started,,135543,
48183,Gregg,not_started,,124239,
48185,Grimes,not_started,,29268,
48187,Guadalupe,not_started,,172706,
48189,Hale,not_started,,32522,
48191,Hall,not_started,,2825,
48193,Hamilton,not_started,,8222,
48195,Hansford,not_started,,5285,
48197,Hardeman,not_started,,3549,
48199,Hardin,not_started,,56231,
48201,Harris,not_started,,4731145,
48203,Harrison,not_started,,68839,
48205,Hartley,not_started,,5382,
48207,Haskell,not_started,,5416,
48209,Hays,blocked,,241067,TLC boundary file only has 4 VTDs - too coarse; population data incomplete
48211,Hemphill,not_started,,3382,
48213,Henderson,not_started,,82150,
48215,Hidalgo,done,notebooks/07_time_series_pipeline_hidalgo.ipynb,870781,large county
48217,Hill,not_started,,35874,
48219,Hockley,not_started,,21537,
48221,Hood,not_started,,61598,
48223,Hopkins,not_started,,36787,
48225,Houston,not_started,,22066,
48227,Howard,not_started,,34860,
48229,Hudspeth,not_started,,3202,
48231,Hunt,not_started,,99956,
48233,Hutchinson,not_started,,20617,
48235,Irion,not_started,,1513,
48237,Jack,not_started,,8472,
48239,Jackson,not_started,,14988,
48241,Jasper,not_started,,32980,
48243,Jeff Davis,not_started,,1996,
48245,Jefferson,not_started,,256526,
48247,Jim Hogg,not_started,,4838,
48249,Jim Wells,not_started,,38891,
48251,Johnson,not_started,,179927,
48253,Jones,not_started,,19663,
48255,Karnes,not_started,,14710,
48257,Kaufman,not_started,,145310,
48259,Kendall,not_started,,44279,
48261,Kenedy,not_started,,350,
48263,Kent,not_started,,753,
48265,Kerr,not_started,,52598,
48267,Kimble,not_started,,4286,
48269,King,not_started,,265,
48271,Kinney,not_started,,3129,
48273,Kleberg,not_started,,31040,
48275,Knox,not_started,,3353,
48283,La Salle,not_started,,6664,
48277,Lamar,not_started,,50088,
48279,Lamb,not_started,,13045,
48281,Lampasas,not_started,,21627,
48285,Lavaca,not_started,,20337,
48287,Lee,not_started,,17478,
48289,Leon,not_started,,15719,
48291,Liberty,not_started,,91628,
48293,Limestone,not_started,,22146,
48295,Lipscomb,not_started,,3059,
48297,Live Oak,not_started,,11335,
48299,Llano,not_started,,21243,
48301,Loving,not_started,,64,
48303,Lubbock,not_started,,310639,
48305,Lynn,not_started,,5596,
48313,Madison,not_started,,13455,
48315,Marion,not_started,,9725,
48317,Martin,not_started,,5237,
48319,Mason,not_started,,3953,
48321,Matagorda,not_started,,36255,
48323,Maverick,not_started,,57887,
48307,McCulloch,not_started,,7630,
48309,McLennan,not_started,,260579,
48311,McMullen,not_started,,600,
48325,Medina,not_started,,50748,
48327,Menard,not_started,,1962,
48329,Midland,not_started,,169983,
48331,Milam,not_started,,24754,
48333,Mills,not_started,,4456,
48335,Mitchell,not_started,,8990,
48337,Montague,not_started,,19965,
48339,Montgomery,not_started,,620443,
48341,Moore,not_started,,21358,
48343,Morris,not_started,,11973,
48345,Motley,not_started,,1063,
48347,Nacogdoches,not_started,,64653,
48349,Navarro,not_started,,52624,
48351,Newton,not_started,,12217,
48353,Nolan,not_started,,14738,
48355,Nueces,not_started,,353178,
